,REM,CHOICE,17,K,ICHI,21,K,WIND,18,K,NEO,19,K,FRY,23,K,POLL,19,K,ROOF,21,K,IPA,17,K,IZZY,23,K,WORK,24,K,CORN,16,K,AIDS,18,K,TONES,22,K,NATE,18,K,PWRS,20,K,BALK,24,K,REM
AA,,C. Kieboom,0.00,,,,,Rain. Rodriguez,0.00,,,,,H. Alvarez,0.00,,,,,C. Abrams,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,T. Yamada,0.00,,,,,M. Sirota,0.00,,,,,J. Wiggins,0.00,,,,,M. Luciano,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,P. Messick,0.00,,,,,,,,,,,G. Rodriguez,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Bleday,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Groshans,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,L. Patino,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Walker,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,M. Mayer,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,D. Espino,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,B. Davis,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Barrero,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,J. Balazovic,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,M. Abel,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,R. Contreras,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,K. Harrison,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA
MISC,,Pick Swap,1.00,,Pick Swap,-1.00,,Pick Swap,1.50,,Pick Swap,-10.50,,,,,Pick Swap,-1.00,,Pick Swap,-2.50,,Pick Swap,-2.00,,,,,Pick Swap,-2.50,,Soto/Crochet,-19.43,,Pick Swap,-2.50,,Chapman,3.25,,Peterson Aranda,-2.50,,Ragans,4.00,,Pick Swap,10.50,,MISC
MISC,,Palencia,-0.50,,Torres,-2.25,,,,,Moreno,4.50,,,,,,,,Pick Swap,-1.50,,SG,3.50,,,,,Hoffman,-1.50,,Moreno,-4.50,,Sonny Gray,-3.50,,Jeff Hoffman,1.50,,Lile,1.00,,Herrera/Musgrove,3.50,,Soto/Crochet,19.43,,MISC
MISC,,Suarez,-7.00,,,,,,,,Marsh,0.50,,,,,,,,Pick Swap,-1.50,,Pick Swap,-7.50,,,,,Pick Swap,-5.50,,,,,Chapman,-3.25,,Torres,2.25,,,,,Pick Swap,2.50,,Marsh,-0.50,,MISC
MISC,,,,,,,,,,,Pick Swap,1.50,,,,,,,,Pick Swap,-18.50,,,,,,,,Lile,-1.00,,,,,,,,Suarez,7.00,,,,,Pick Swap,7.00,,Pick Swap,2.50,,MISC
MISC,,,,,,,,,,,Pick Swap,7.50,,,,,,,,Pick Swap,-7.00,,,,,,,,Shane Smith,-1.50,,,,,,,,,,,,,,Pick Swap,5.50,,Pick Swap,2.00,,MISC
MISC,,,,,,,,,,,Pick Swap,3.50,,,,,,,,Pick Swap,-5.50,,,,,,,,,,,,,,,,,,,,,,,,,,Pick Swap,18.50,,MISC
MISC,,,,,,,,,,,Peterson Aranda,2.50,,,,,,,,Pick Swap,-3.50,,,,,,,,,,,,,,,,,,,,,,,,,,Pick Swap,2.00,,MISC
MISC,,,,,,,,,,,,,,,,,,,,Shane Smith,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,Pick Swap,1.00,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick Swap,5.50,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palencia,0.50,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISC
LUX,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,5.95,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,LUX
MCQ,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,3.00,,,0.00,,,0.00,,,0.00,,,6.00,,,0.00,,,2.50,,,0.00,,MCQ
INN,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,INN
$$$,C.O.,,-2.12,,,-22.76,,,-7.90,,,-5.58,,,-1.67,,,-2.83,,,-3.18,,,-6.75,,,-11.17,,,-11.04,,,-26.90,,,-4.42,,,-7.67,,,-2.86,,,-4.64,,,-0.08,,$$$
%,Hit,10%,18.90,,18%,36.05,,7%,13.90,,11%,20.65,,40%,71.15,,33%,60.30,,7%,13.50,,16%,28.70,,31%,57.70,,20%,37.10,,49%,99.65,,14%,25.25,,12%,22.20,,8%,13.65,,6%,11.10,,21%,37.85,,Hit
%,Pit,17%,30.10,,5%,10.00,,11%,20.15,,39%,71.80,,10%,17.65,,17%,30.15,,40%,72.45,,21%,39.70,,3%,5.90,,7%,13.15,,8%,15.50,,15%,27.25,,9%,16.20,,41%,73.30,,8%,14.60,,1%,2.00,,Pit
%,Ben,3%,5.00,,1%,3.00,,3%,5.50,,1%,1.50,,0%,0.00,,4%,6.50,,0%,0.00,,0%,0.00,,0%,0.00,,0%,0.00,,0%,1.00,,1%,1.00,,2%,4.00,,4%,7.50,,2%,4.50,,1%,1.00,,Ben
